																		
NO	AC	FLIGHT N0	ROUTE	STD	STA	BLOCK	TAT	FREQ	FROM	TO								
10	13-A320	VJ1153	HAN-SGN	22:55	1:05	2:10	0:35	1234567	31/Mar	26/Oct								
																		
11	16-A320	VJ1199	HAN-SGN	5:10	7:20	2:10	0:30	1234567	31/Mar	29/May								
11	16-A320	VJ809	SGN-HKT	8:50	10:55	1:55	1:00	1234567	31/Mar	26/Oct								
11	16-A320	VJ808	HKT-SGN	11:55	13:50	1:55	0:40	1234567	31/Mar	26/Oct								
11	16-A320	VJ374	SGN-VCL	14:30	15:50	1:20	0:25	1234567	30/May	26/Oct								
11	16-A320	VJ375	VCL-SGN	16:15	17:35	1:20	0:30	1234567	30/May	26/Oct								
11	16-A320	VJ154	SGN-HAN	18:15	20:25	2:10	0:30	1234567	30/May	26/Oct								
11	16-A320	VJ161	HAN-SGN	20:55	23:05	2:10	0:30	1234567	30/May	26/Oct								
NEW	16-A320	VJ1312	SGN-HUI	23:35	1:00	1:25	0:25	1234567	10/Jun	26/Oct								
NEW	16-A320	VJ1313	HUI-SGN	1:25	2:50	1:25	5:50	1234567	10/Jun	26/Oct								
																		
12	14-A320	VJ491	HAN-BMV	6:15	8:00	1:45	0:25	1234567	31/Mar	26/Oct								
12	14-A320	VJ492	BMV-HAN	8:25	10:10	1:45	0:30	1234567	31/Mar	26/Oct								
12	14-A320	VJ139	HAN-SGN	10:40	12:50	2:10	0:30	1234567	31/Mar	26/Oct								
12	14-A320	VJ138	SGN-HAN	13:20	15:30	2:10	0:40	1234567	31/Mar	26/Oct								
12	14-A320	VJ405	HAN-DLI	16:10	18:00	1:50	0:25	1234567	31/Mar	26/Oct								
12	14-A320	VJ406	DLI-HAN	18:25	20:15	1:50	0:30	1234567	31/Mar	26/Oct								
12	14-A320	VJ157	HAN-SGN	20:45	22:55	2:10	0:30	1234567	31/Mar	26/Oct								
NEW	14-A320	VJ1128	SGN-HAN	23:25	1:35	2:10	0:40	1234567	10/Jun	26/Oct								
